,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,
Office of the Administrator,EPA-HQ-2017-006874,N,20,,,,4-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006876,N,20,,,,4-May-17,15-May-17,,,Expedited,,,,,,,,,,4-May-17,15-May-17,10,Grant,,,, ,
Office of Acquisition Management,EPA-HQ-2017-006877,N,20,,,,4-May-17,5-May-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of Civil Enforcement,EPA-HQ-2017-006879,N,20,,,,4-May-17,7-Jun-17,22-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2017-006884,N,20,,,,4-May-17,9-May-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2017-006888,N,20,,,,4-May-17,5-May-17,10-May-17,,Simple,Duplicate request, ,,,,,,,,,,, ,,,, ,
Office of Public Affairs,EPA-HQ-2017-006889,N,20,,,,4-May-17,,,,Simple,,,,,,,,,,,,, ,4-May-17,16-May-17,11,Full Grant,
Office of Pesticide Programs,EPA-HQ-2017-006890,N,20,,,,4-May-17,8-May-17,15-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-006893,N,20,,,,11-Apr-17,4-May-17,28-Sep-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,4-May-17,10-May-17,6,Deny,
OGC,EPA-HQ-2017-006901,N,,,,,,,,,Simple,,,,4-May-17,31-May-17,Affirmed on Appeal,Fee-related reason, ,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2017-006909,N,20,,,,4-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006910,N,20,,,,4-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,4-May-17,9-May-17,4,Not Billable,
Headquarters,EPA-HQ-2017-006912,N,20,,,,4-May-17,,9-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,4-May-17,8-May-17,3,Not Billable,
Office of Pesticide Programs,EPA-HQ-2017-006915,N,20,,,,5-May-17,9-May-17,31-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Municipal Support Division,EPA-HQ-2017-006919,N,20,,,,5-May-17,10-May-17,29-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-006933,N,20,,,,5-May-17,12-May-17,,,Simple,,,,,,,,,,5-May-17,10-May-17,4,Deny,,,, ,
Office of the Inspector General,EPA-HQ-2017-006934,N,20,,,,5-May-17,5-May-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2017-006936,N,20,,,,5-May-17,8-May-17,31-May-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-006940,N,20,,,,5-May-17,10-May-17,6-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Administration and Resources Management,EPA-HQ-2017-006949,N,20,,,,5-May-17,5-May-17,16-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2017-006950,N,20,,,,5-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,5-May-17,16-May-17,10,Full Grant,
Headquarters,EPA-HQ-2017-006957,N,20,,,,5-May-17,9-May-17,9-May-17,,Simple,Full grant, ,,,,,,,,9-May-17,9-May-17,0,Deny,5-May-17,9-May-17,3,Not Billable,
Office of the Administrator,EPA-HQ-2017-006958,N,20,,,,5-May-17,8-May-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of Administration and Resources Management,EPA-HQ-2017-006959,N,30,,,,5-May-17,8-May-17,28-Jun-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2017-006964,N,20,,,,6-May-17,8-May-17,7-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
OGC Law Groups-Ethics Office,EPA-HQ-2017-006965,N,20,,,,6-May-17,9-Aug-17,25-Aug-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006966,N,20,,,,6-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006967,N,20,,,,6-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of Human Resources,EPA-HQ-2017-006968,N,20,,,,6-May-17,9-May-17,31-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Administration,EPA-HQ-2017-006969,N,20,,,,6-May-17,9-May-17,16-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2017-006970,N,20,,,,6-May-17,9-May-17,29-Jun-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006971,N,20,,,,6-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006974,N,20,,,,6-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,6-May-17,15-May-17,8,Full Grant,
Headquarters,EPA-HQ-2017-006975,N,20,,,,6-May-17,11-May-17,17-May-17,,Simple,Full denial based on exemptions, ,Ex. 5,,,,,,,11-May-17,11-May-17,0,Deny,6-May-17,11-May-17,4,Not Billable,
Headquarters,EPA-HQ-2017-006977,N,20,,,,6-May-17,,16-May-17,,Simple,Duplicate request, ,,,,,,,,,,, ,6-May-17,16-May-17,9,Not Billable,
Office of Budget,EPA-HQ-2017-006980,N,20,,,,6-May-17,18-May-17,23-Jun-17,,Expedited,No records, ,,,,,,,,6-May-17,10-May-17,3,Grant,6-May-17,10-May-17,3,Not Billable,
Office of Pesticide Programs,EPA-HQ-2017-006985,N,20,,,,7-May-17,17-May-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006989,N,20,,,,7-May-17,,9-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,7-May-17,8-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-006990,N,20,,,,7-May-17,,9-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,7-May-17,8-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-006991,N,20,,,,8-May-17,,9-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,8-May-17,8-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-006992,N,20,,,,8-May-17,,9-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,8-May-17,8-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-006993,N,20,,,,8-May-17,,9-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,8-May-17,8-May-17,0,Not Billable,
Office of the Administrator,EPA-HQ-2017-006996,N,20,,,,8-May-17,8-May-17,,,Simple,,,,,,,,,,,,, ,8-May-17,8-May-17,0,Withdrawn by Requester,
Office of Pesticide Programs,EPA-HQ-2017-007000,N,20,,,,8-May-17,10-May-17,24-Aug-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Budget,EPA-HQ-2017-007004,N,20,,,,8-May-17,17-May-17,,,Complex,,,,,,,,,,8-May-17,25-May-17,16,Deny,8-May-17,25-May-17,16,Not Billable,
Office of the Administrator,EPA-HQ-2017-007009,N,20,,,,8-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,8-May-17,9-May-17,0,Full Grant,
Office of Pesticide Programs,EPA-HQ-2017-007013,N,20,,,,8-May-17,17-May-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Resource Conservation and Recovery,EPA-HQ-2017-007014,N,20,,,,8-May-17,1-Jun-17,8-Aug-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Budget,EPA-HQ-2017-007018,N,20,,,,8-May-17,10-May-17,7-Jun-17,,Simple,Full denial based on exemptions, ,"Ex. 5, Ex. 6",,,,,,,,,, ,8-May-17,9-May-17,0,Full Grant,
Office of Pesticide Programs,EPA-HQ-2017-007020,N,20,,,,8-May-17,9-May-17,17-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007021,N,20,,,,8-May-17,9-May-17,11-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007022,N,20,,,,8-May-17,9-May-17,18-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Research and Development,EPA-HQ-2017-007026,N,20,,,,8-May-17,10-May-17,18-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2017-007028,N,20,,,,8-May-17,12-May-17,7-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
OGC Law Groups-Ethics Office,EPA-HQ-2017-007032,N,20,,,,8-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-007033,N,20,,,,8-May-17,9-Aug-17,,,Simple,,,,,,,,,,8-May-17,12-May-17,3,Deny,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007034,N,20,,,,8-May-17,17-May-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-007036,N,20,,,,8-May-17,,11-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,8-May-17,9-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007040,N,20,,,,8-May-17,,11-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,8-May-17,9-May-17,0,Not Billable,
OGC,EPA-HQ-2017-007041,N,,,,,,,,,Simple,,,,8-May-17,7-Jun-17,Partially affirmed &amp; partially reversed/remanded,, ,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2017-007043,N,20,,,,9-May-17,9-Aug-17,,,Simple,,,,,,,,,,9-May-17,12-May-17,3,Deny,9-May-17,12-May-17,3,Not Billable,
Headquarters,EPA-HQ-2017-007045,N,20,,,,9-May-17,,11-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,9-May-17,9-May-17,0,Not Billable,
Office of Site Remediation,EPA-HQ-2017-007046,N,20,,,,9-May-17,10-Jul-17,30-Aug-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2017-007062,N,20,,,,9-May-17,9-May-17,28-Jun-17,,Complex,Partial grant/partial denial, ,Ex. 4,,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2017-007068,N,,,,,,,,,Simple,,,,9-May-17,5-Jun-17,Affirmed on Appeal,, ,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007069,N,20,"(CLOB) 7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)",(CLOB) Data "that would directly or indirectly reveal the identity of individual producers [of certain pesticides]","(CLOB) Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",9-May-17,9-May-17,24-May-17,,Simple,Full denial based on exemptions, ,Ex. 3,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-007078,N,30,,,,9-May-17,12-May-17,,,Complex,,,,,,,,,,,,, ,9-May-17,18-May-17,8,Not Billable,
"Office of Policy, Economics and Innovation",EPA-HQ-2017-007080,N,30,,,,9-May-17,10-May-17,,,Simple,,,,,,,,,,,,, ,9-May-17,16-May-17,6,Full Grant,
OGC Law Groups-Ethics Office,EPA-HQ-2017-007082,N,20,,,,9-May-17,9-May-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of Air Quality Planning and Standards,EPA-HQ-2017-007084,N,20,,,,9-May-17,10-May-17,21-Sep-17,,Complex,Duplicate request, ,,,,,,,,,,, ,9-May-17,10-May-17,0,Full Grant,
Science Advisory Board,EPA-HQ-2017-007087,N,20,,,,9-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,9-May-17,16-May-17,6,Full Grant,
Office of the Administrator,EPA-HQ-2017-007094,N,20,,,,9-May-17,10-May-17,,,Simple,,,,,,,,,,,,, ,9-May-17,18-May-17,9,Not Billable,
Headquarters,EPA-HQ-2017-007097,N,20,,,,9-May-17,,11-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,9-May-17,10-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007098,N,20,,,,9-May-17,,11-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,9-May-17,10-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007099,N,20,,,,10-May-17,,11-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,10-May-17,10-May-17,0,Not Billable,
Office of Pesticide Programs,EPA-HQ-2017-007106,N,20,,,,10-May-17,10-May-17,18-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007107,N,20,,,,10-May-17,10-May-17,11-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007110,N,20,,,,10-May-17,10-May-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2017-007116,N,20,,,,10-May-17,31-May-17,,,Simple,,,,,,,,,,,,, ,10-May-17,18-May-17,7,Full Grant,
Office of Emergency Management,EPA-HQ-2017-007119,N,20,,,,10-May-17,11-May-17,7-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007121,N,20,,,,10-May-17,10-May-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-007126,N,20,,,,10-May-17,,1-Jun-17,,Simple,Improper FOIA request for other reason, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-007127,N,30,,,,10-May-17,10-May-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2017-007129,N,,,,,,,,,Simple,,,,1-May-17,31-May-17,Partially affirmed &amp; partially reversed/remanded,, ,"Ex. 5, Ex. 6, Ex. 7(C)",,,, ,,,, ,
OGC,EPA-HQ-2017-007133,N,20,,,,10-May-17,16-May-17,14-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,10-May-17,18-May-17,7,Deny,
Office of the Administrator,EPA-HQ-2017-007136,N,20,,,,10-May-17,17-May-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2017-007137,N,20,,,,10-May-17,8-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
External Civil Rights Compliance Office,EPA-HQ-2017-007140,N,20,,,,10-May-17,20-Jul-17,,,Complex,,,,,,,,,,,,, ,10-May-17,18-May-17,7,Full Grant,
Office of the Administrator,EPA-HQ-2017-007141,N,20,,,,10-May-17,8-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-007142,N,20,,,,10-May-17,8-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-007143,N,20,,,,10-May-17,8-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-007153,N,20,,,,11-May-17,,12-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,11-May-17,11-May-17,0,Not Billable,
Chemical Control Division,EPA-HQ-2017-007155,N,20,,,,11-May-17,15-May-17,31-May-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007156,N,20,,,,11-May-17,11-May-17,24-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2017-007157,N,20,,,,10-May-17,10-May-17,16-Aug-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-007158,N,20,,,,11-May-17,8-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
National Exposure Research Laboratory,EPA-HQ-2017-007161,N,20,,,,11-May-17,,23-May-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-007164,N,20,,,,11-May-17,12-May-17,12-May-17,,Expedited,No records, ,,,,,,,,11-May-17,12-May-17,0,Grant,11-May-17,12-May-17,0,Not Billable,
OGC Law Groups-Ethics Office,EPA-HQ-2017-007166,N,20,,,,11-May-17,17-May-17,,,Simple,,,,,,,,,,,,, ,11-May-17,18-May-17,7,Full Grant,
Office of Acquisition Management,EPA-HQ-2017-007168,N,20,,,,11-May-17,15-May-17,23-May-17,,Simple,Duplicate request, ,,,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2017-007172,N,30,,,,11-May-17,15-May-17,13-Jul-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007173,N,20,,,,11-May-17,17-May-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2017-007177,N,20,,,,11-May-17,11-May-17,,,Simple,,,,,,,,,,,,, ,11-May-17,18-May-17,7,Full Grant,
Office of the Administrator,EPA-HQ-2017-007178,N,20,,,,11-May-17,8-Aug-17,,,Simple,,,,,,,,,,,,, ,11-May-17,18-May-17,6,Full Grant,
"Office of Policy, Economics and Innovation",EPA-HQ-2017-007179,N,30,,,,11-May-17,6-Jun-17,,,Simple,,,,,,,,,,,,, ,11-May-17,18-May-17,6,Full Grant,
Office of the Administrator,EPA-HQ-2017-007191,N,20,,,,11-May-17,8-Aug-17,,,Simple,,,,,,,,,,11-May-17,18-May-17,6,Deny,11-May-17,18-May-17,6,Full Grant,
Office of Pesticide Programs,EPA-HQ-2017-007192,N,20,,,,11-May-17,11-May-17,7-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007193,N,20,,,,11-May-17,11-May-17,18-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007194,N,20,,,,11-May-17,11-May-17,18-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-007199,N,20,,,,11-May-17,,12-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,11-May-17,11-May-17,0,Not Billable,
Office of Pesticide Programs,EPA-HQ-2017-007200,N,20,,,,11-May-17,11-May-17,6-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007202,N,20,,,,11-May-17,11-May-17,18-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007203,N,20,,,,11-May-17,11-May-17,18-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Water Permits Division,EPA-HQ-2017-007206,N,30,,,,11-May-17,16-May-17,,75,Simple,,,,,,,,,,,,, ,11-May-17,18-May-17,7,Deny,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2017-007223,N,20,,,,11-May-17,12-May-17,7-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-007228,N,20,,,,11-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,11-May-17,12-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007229,N,20,,,,11-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,11-May-17,12-May-17,0,Not Billable,
External Civil Rights Compliance Office,EPA-HQ-2017-007232,N,20,,,,11-May-17,22-May-17,20-Jul-17,,Simple,Partial grant/partial denial, ,Ex. 7(A),,,,,,,,,, ,11-May-17,24-May-17,12,Not Billable,
Headquarters,EPA-HQ-2017-007233,N,20,,,,12-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,12-May-17,12-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007234,N,20,,,,12-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,12-May-17,12-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007236,Y,20,,,,11-May-17,,12-May-17,,Pending,, ,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2017-007238,N,,,,,,,,,Simple,,,,,15-May-17,Closed for other reasons,Duplicate request or appeal, ,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2017-007240,N,,,,,,,,,Simple,,,,1-May-17,31-May-17,Partially affirmed &amp; partially reversed/remanded,Duplicate request or appeal, ,"Ex. 5, Ex. 6, Ex. 7(C)",,,, ,,,, ,
Office of Technology Solutions,EPA-HQ-2017-007241,N,20,,,,12-May-17,16-May-17,19-May-17,,Simple,Full grant, ,,,,,,,,,,, ,12-May-17,,141, ,
OGC,EPA-HQ-2017-007243,N,20,,,,12-May-17,12-May-17,7-Jun-17,95,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-007246,N,20,,,,12-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,12-May-17,12-May-17,0,Not Billable,
Office of Resource Conservation and Recovery,EPA-HQ-2017-007247,N,30,,,,12-May-17,15-May-17,10-Aug-17,41,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Brownfields and Land Revitalization,EPA-HQ-2017-007253,N,20,,,,12-May-17,15-May-17,21-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,12-May-17,17-May-17,4,Not Billable,
Office of Resource Conservation and Recovery,EPA-HQ-2017-007260,N,20,,,,12-May-17,16-May-17,13-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,12-May-17,24-May-17,12,Not Billable,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2017-007272,N,20,,,,12-May-17,8-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-007273,N,20,,,,12-May-17,15-May-17,16-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Air and Radiation,EPA-HQ-2017-007274,N,20,,,,12-May-17,18-May-17,8-Jun-17,93,Simple,Request withdrawn, ,,,,,,,,12-May-17,18-May-17,5,Deny,,,, ,
Office of Homeland Security,EPA-HQ-2017-007275,N,20,,,,12-May-17,,,,Simple,,,,,,,,,,,,, ,,,, ,
"Office of Criminal Enforcement, Forensics, and Training",EPA-HQ-2017-007276,N,20,,,,12-May-17,16-May-17,27-Jun-17,,Simple,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
"Office of Criminal Enforcement, Forensics, and Training",EPA-HQ-2017-007277,N,20,,,,12-May-17,16-May-17,27-Jun-17,,Simple,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2017-007282,N,20,,,,13-May-17,15-May-17,31-Aug-17,,Simple,Partial grant/partial denial, ,"Ex. 5, Ex. 6, Ex. 7(C)",,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2017-007283,N,20,,,,13-May-17,15-May-17,31-Aug-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-007284,N,20,,,,13-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,13-May-17,15-May-17,1,Not Billable,
Headquarters,EPA-HQ-2017-007285,N,20,,,,14-May-17,,18-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,14-May-17,15-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007286,N,20,,,,14-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,14-May-17,15-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007287,N,20,,,,14-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,14-May-17,15-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007289,N,20,,,,14-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,14-May-17,15-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007290,N,20,,,,14-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,14-May-17,15-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007291,N,20,,,,14-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,14-May-17,15-May-17,0,Not Billable,
Office of the Inspector General,EPA-HQ-2017-007292,N,20,,,,15-May-17,15-May-17,29-Sep-17,,Simple,Partial grant/partial denial, ,"Ex. 6, Ex. 7(C)",,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2017-007293,N,20,,,,15-May-17,15-May-17,31-Aug-17,,Simple,Partial grant/partial denial, ,"Ex. 6, Ex. 7(C)",,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-007294,N,20,,,,15-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,15-May-17,15-May-17,0,Not Billable,
Headquarters,EPA-HQ-2017-007295,N,20,,,,15-May-17,,17-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,15-May-17,15-May-17,0,Not Billable,
Office of Research and Development,EPA-HQ-2017-007297,N,30,,,,15-May-17,16-May-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of Research and Development,EPA-HQ-2017-007299,N,20,,,,15-May-17,24-May-17,30-May-17,,Simple,No records, ,,,,,,,,,,, ,15-May-17,18-May-17,2,Full Grant,
OGC,EPA-HQ-2017-007300,N,20,,,,15-May-17,13-Jul-17,,,Simple,,,,,,,,,,,,, ,15-May-17,18-May-17,2,Not Billable,
Office of Pesticide Programs,EPA-HQ-2017-007301,N,20,,,,15-May-17,17-May-17,17-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Immediate Office,EPA-HQ-2017-007302,N,20,,,,15-May-17,15-May-17,18-May-17,,Simple,No records, ,,,,,,,,,,, ,15-May-17,18-May-17,2,Not Billable,
Immediate Office,EPA-HQ-2017-007304,N,20,,,,15-May-17,15-May-17,18-May-17,,Simple,No records, ,,,,,,,,,,, ,15-May-17,18-May-17,2,Not Billable,
Immediate Office,EPA-HQ-2017-007305,N,20,,,,15-May-17,15-May-17,18-May-17,,Simple,No records, ,,,,,,,,,,, ,15-May-17,18-May-17,2,Not Billable,
Office of Pesticide Programs,EPA-HQ-2017-007311,N,20,,,,15-May-17,16-May-17,22-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Research and Development,EPA-HQ-2017-007315,N,20,,,,15-May-17,24-May-17,30-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
OARM/CINC,EPA-HQ-2017-007325,N,20,,,,15-May-17,18-May-17,6-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Public Affairs,EPA-HQ-2017-007326,N,20,,,,15-May-17,8-Aug-17,,,Simple,,,,,,,,,,,,, ,15-May-17,25-May-17,9,Not Billable,
Office of Administration,EPA-HQ-2017-007329,N,30,,,,15-May-17,17-May-17,,0,Simple,,,,,,,,,,,,, ,15-May-17,25-May-17,9,Full Grant,
Office of Pesticide Programs,EPA-HQ-2017-007330,N,20,,,,15-May-17,17-May-17,18-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
